Xt-4,Xt-3,Xt-2,Xt-1,Xt-0,Data Prediksi
92625800,163732600,73611200,115834500,185672200,162655900
163732600,73611200,115834500,185672200,162655900,255251600
73611200,115834500,185672200,162655900,255251600,187436100
115834500,185672200,162655900,255251600,187436100,224391900
185672200,162655900,255251600,187436100,224391900,154003100
162655900,255251600,187436100,224391900,154003100,125049100
255251600,187436100,224391900,154003100,125049100,67363200
187436100,224391900,154003100,125049100,67363200,898453700
224391900,154003100,125049100,67363200,898453700,255472600
154003100,125049100,67363200,898453700,255472600,92019300
125049100,67363200,898453700,255472600,92019300,150377000
67363200,898453700,255472600,92019300,150377000,92794100
898453700,255472600,92019300,150377000,92794100,77251000
255472600,92019300,150377000,92794100,77251000,92314200
92019300,150377000,92794100,77251000,92314200,108831400
150377000,92794100,77251000,92314200,108831400,0
